iter	Passed	Remaining
1492	28303	19090
1493	28329	19075
1494	28355	19061
1495	28381	19047
1496	28408	19033
1497	28434	19019
1498	28461	19005
1499	28487	18991
1500	28514	18978
1501	28542	18964
1502	28579	18958
1503	28612	18948
1504	28640	18935
1505	28667	18921
1506	28694	18907
1507	28722	18894
1508	28750	18881
1509	28773	18864
1510	28799	18850
1511	28825	18835
1512	28843	18816
1513	28864	18797
1514	28890	18783
1515	28918	18770
1516	28945	18756
1517	28971	18741
1518	28996	18726
1519	29022	18711
1520	29048	18697
1521	29074	18682
1522	29100	18668
1523	29127	18653
1524	29154	18639
1525	29181	18625
1526	29210	18612
1527	29229	18593
1528	29257	18579
1529	29283	18565
1530	29309	18550
1531	29338	18537
1532	29364	18523
1533	29391	18508
1534	29406	18487
1535	29431	18471
1536	29458	18456
1537	29485	18442
1538	29500	18421
1539	29526	18406
1540	29556	18393
1541	29577	18375
1542	29604	18361
1543	29619	18339
1544	29644	18323
1545	29669	18308
1546	29696	18293
1547	29725	18280
1548	29753	18266
1549	29778	18251
1550	29793	18229
1551	29819	18214
1552	29834	18192
1553	29861	18177
1554	29892	18166
1555	29913	18147
1556	29934	18129
1557	29966	18118
1558	29994	18104
1559	30022	18090
1560	30052	18077
1561	30078	18062
1562	30104	18047
1563	30133	18034
1564	30159	18018
1565	30184	18002
1566	30210	17987
1567	30236	17972
1568	30262	17956
1569	30288	17941
1570	30314	17926
1571	30341	17911
1572	30367	17896
1573	30393	17880
1574	30418	17864
1575	30444	17849
1576	30470	17833
1577	30497	17819
1578	30524	17804
1579	30555	17792
1580	30589	17780
1581	30615	17765
1582	30641	17749
1583	30670	17736
1584	30696	17720
1585	30714	17700
1586	30742	17686
1587	30767	17670
1588	30793	17654
1589	30819	17638
1590	30845	17623
1591	30872	17607
1592	30898	17592
1593	30923	17576
1594	30953	17563
1595	30984	17550
1596	31010	17534
1597	31032	17516
1598	31058	17500
1599	31084	17485
1600	31110	17469
1601	31135	17453
1602	31162	17437
1603	31189	17422
1604	31219	17408
1605	31244	17392
1606	31271	17377
1607	31297	17361
1608	31322	17345
1609	31349	17330
1610	31375	17313
1611	31401	17298
1612	31427	17282
1613	31454	17266
1614	31481	17251
1615	31507	17235
1616	31539	17222
1617	31568	17208
1618	31595	17192
1619	31621	17176
1620	31647	17161
1621	31673	17144
1622	31691	17124
1623	31717	17108
1624	31748	17095
1625	31775	17079
1626	31801	17063
1627	31827	17047
1628	31853	17031
1629	31880	17015
1630	31906	16999
1631	31933	16984
1632	31959	16968
1633	31980	16949
1634	32008	16934
